Scheepsnaam;Handling;Terminal;Port of discharge;Consignmentnr;Kind of package;Shipping Name;UNO;IMO;Flashpoint;Packaging Group;Equipment number;Stowage position;Quantity in container;Weight in container
Erasmus 1;Transit;Terminal 1;Amsterdam;87198643;Rectangular Tank;ISOPROPANOL (ISOPROPYL ALCOHOL);3302;61;0;Great danger;PBAU8682927;010686;3961;61669000
Erasmus 1;Discharge;Terminal 1;Amsterdam;87895333;Rectangular Tank;FURFURYL ALCOHOL;1814;3;15;Minor danger;PBAU5382289;010786;993;73151000
Erasmus 1;Transit;Terminal 1;Amsterdam;53548091;Rectangular Tank;2 DIMETHYLAMINOETHYL ACRYLATE;3082;3;24;Minor danger;PBAU4197642;010886;6015;8835000
Erasmus 1;Transit;Terminal 1;Amsterdam;12765503;Rectangular Tank;CORROSIVE LIQUID, ACIDIC, ORGANIC, N.O.S.;2524;61;0;Minor danger;PBAU2402732;010986;5932;93329000
Erasmus 1;Transit;Terminal 1;Amsterdam;89701140;Rectangular Tank;CALCIUM HYPOCHLORITE, HYDRATED MIXTURE, CORROSIVE;3265;51;0;Minor danger;PBAU7813449;011086;9410;47040000
Erasmus 1;Transit;Terminal 1;Amsterdam;74185327;Rectangular Tank;2 DIMETHYLAMINOETHYL ACRYLATE;2259;51;60;Medium danger;PBAU3194982;010188;2303;6479000
Erasmus 1;Discharge;Terminal 1;Amsterdam;68866170;Rectangular Tank;PHOSPHORUS PENTOXIDE;3487;8;27;Medium danger;PBAU1442957;010288;6020;25371000
Erasmus 1;Transit;Terminal 1;Amsterdam;21492692;Rectangular Tank;ISOPROPANOL (ISOPROPYL ALCOHOL);1992;61;0;Medium danger;PBAU9782972;010388;2980;56508000
Erasmus 1;Transit;Terminal 1;Amsterdam;78667166;Rectangular Tank;ETHANOL SOLUTION (ETHYL ALCOHOL SOLUTION);1266;8;0;Minor danger;PBAU3434093;010488;1776;75169000
Erasmus 1;Transit;Terminal 1;Amsterdam;63544871;Rectangular Tank;RESORCINOL;2524;8;0;Minor danger;PBAU1049422;010588;4888;4478000
Erasmus 1;Discharge;Terminal 1;Amsterdam;51934921;Rectangular Tank;FLAMMABLE LIQUID, TOXIC, N.O.S.;1173;61;0;Medium danger;PBAU2887054;010688;461;38956000
Erasmus 1;Discharge;Terminal 1;Amsterdam;55839337;Rectangular Tank;RESORCINOL;1944;61;0;Medium danger;PBAU2089210;010788;9222;91233000
Erasmus 1;Transit;Terminal 1;Amsterdam;27912648;Rectangular Tank;ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID, N.O.S.;3082;3;0;Minor danger;PBAU4285780;010888;3257;8189000
Erasmus 1;Discharge;Terminal 1;Amsterdam;24851003;Rectangular Tank;ETHYL METHYL KETONE (METHYL ETHYL KETONE);1807;61;45;Minor danger;PBAU7541212;010988;6242;81079000
Erasmus 1;Discharge;Terminal 1;Amsterdam;50090195;Rectangular Tank;TOXIC LIQUID, FLAMMABLE, ORGANIC, N.O.S.;2734;61;0;Minor danger;PBAU3342432;011088;9866;51037000
Erasmus 1;Transit;Terminal 1;Amsterdam;56111639;Rectangular Tank;AMINOPHENOLS;1779;8;0;Minor danger;PBAU3741372;010190;3919;13863000
Erasmus 1;Discharge;Terminal 1;Amsterdam;50894614;Rectangular Tank;ISOPROPANOL (ISOPROPYL ALCOHOL);3261;3;13;Great danger;PBAU7232172;010290;2047;48540000
Erasmus 1;Transit;Terminal 1;Amsterdam;56170071;Rectangular Tank;CRESOLS, SOLID;2259;8;38;Medium danger;PBAU1751058;010390;4014;84702000
Erasmus 1;Transit;Terminal 1;Amsterdam;94767318;Rectangular Tank;2 DIMETHYLAMINOETHYL ACRYLATE;1903;51;15;Minor danger;PBAU9195696;010490;8440;55539000
Erasmus 1;Discharge;Terminal 1;Amsterdam;37303380;Rectangular Tank;SODIUM CARBONATE PEROXYHYDRATE;1193;61;0;Minor danger;PBAU3341215;010590;7116;31157000
Erasmus 1;Discharge;Terminal 1;Amsterdam;96094269;Rectangular Tank;DIPENTENE;3455;8;0;Great danger;PBAU9745561;010690;8402;21974000
Erasmus 1;Transit;Terminal 1;Amsterdam;55978967;Rectangular Tank;CORROSIVE LIQUID, TOXIC, N.O.S.;2874;3;13;Minor danger;PBAU1618018;010790;6406;27613000
Erasmus 1;Discharge;Terminal 1;Amsterdam;20043074;Rectangular Tank;ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID, N.O.S.;1944;3;13;Medium danger;PBAU1098658;010890;6735;1469000
Erasmus 1;Transit;Terminal 1;Amsterdam;74300841;Rectangular Tank;2 DIMETHYLAMINOETHYL ACRYLATE;2512;3;15;Medium danger;PBAU8894264;010990;272;7881000
Erasmus 1;Transit;Terminal 1;Amsterdam;19904387;Rectangular Tank;DIPENTENE;3082;9;0;Medium danger;PBAU8110914;011090;668;734000
Erasmus 1;Transit;Terminal 1;Amsterdam;54347013;Rectangular Tank;ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID, N.O.S.;1170;8;0;Medium danger;PBAU4656324;010192;4784;36966000
Erasmus 1;Discharge;Terminal 1;Amsterdam;10416546;Rectangular Tank;TRIMETHYL PHOSPHITE;1814;61;0;Medium danger;PBAU8319708;010292;1243;65637000
Erasmus 1;Transit;Terminal 1;Amsterdam;27890490;Rectangular Tank;BROMOPROPANES;2874;61;0;Medium danger;PBAU3015640;010392;248;7166000
Erasmus 1;Discharge;Terminal 1;Amsterdam;44915118;Rectangular Tank;RESORCINOL;1944;61;13;Minor danger;PBAU9425654;010492;8343;10597000
Erasmus 1;Transit;Terminal 1;Amsterdam;53199137;Rectangular Tank;CORROSIVE LIQUID, ACIDIC, ORGANIC, N.O.S.;1944;3;15;Medium danger;PBAU3201593;010592;333;40839000
Erasmus 1;Transit;Terminal 1;Amsterdam;62815598;Rectangular Tank;MATCHES, SAFETY;1170;3;0;Medium danger;PBAU1517452;010692;9446;30998000
Erasmus 1;Discharge;Terminal 1;Amsterdam;89580139;Rectangular Tank;2 DIMETHYLAMINOETHYL ACRYLATE;3265;51;7;Minor danger;PBAU6687233;010792;4570;45569000
Erasmus 1;Discharge;Terminal 1;Amsterdam;28258264;Rectangular Tank;SULPHURIC ACID;1993;3;45;Medium danger;PBAU4455290;010892;5504;71075000
Erasmus 1;Discharge;Terminal 1;Amsterdam;81693204;Rectangular Tank;PENTANE 2,4 DIONE;3082;3;13;Medium danger;PBAU5804595;010992;2038;92171000
Erasmus 1;Transit;Terminal 1;Amsterdam;13371384;Rectangular Tank;SULPHURIC ACID;2524;8;15;Minor danger;PBAU9926990;011092;3066;33272000
Erasmus 1;Transit;Terminal 1;Amsterdam;26189778;Rectangular Tank;AMINES, LIQUID, CORROSIVE, FLAMMABLE, N.O.S.;1779;3;0;Minor danger;PBAU6826494;010194;4087;39801000
Erasmus 1;Transit;Terminal 1;Amsterdam;16056803;Rectangular Tank;CRESOLS, SOLID;1807;3;60;Medium danger;PBAU7884739;010294;1479;91931000
Erasmus 1;Transit;Terminal 1;Amsterdam;57388258;Rectangular Tank;ETHANOL SOLUTION (ETHYL ALCOHOL SOLUTION);2524;8;0;Medium danger;PBAU5090741;010394;1863;23150000
Erasmus 1;Transit;Terminal 1;Amsterdam;82730864;Rectangular Tank;AMINOPHENOLS;2929;8;0;Great danger;PBAU6517573;010494;3296;64957000
Erasmus 1;Transit;Terminal 1;Amsterdam;16723738;Rectangular Tank;TRIETHYLENETETRAMINE;1903;3;0;Minor danger;PBAU7818917;010594;3486;35532000
Erasmus 1;Discharge;Terminal 1;Amsterdam;40019076;Rectangular Tank;POTASSIUM HYDROXIDE SOLUTION;3265;61;38;Great danger;PBAU3270124;010694;8064;20323000
Erasmus 1;Discharge;Terminal 1;Amsterdam;23799035;Rectangular Tank;FURALDEHYDES;1992;3;15;Medium danger;PBAU3604250;010794;2432;22194000
Erasmus 1;Discharge;Terminal 1;Amsterdam;17239903;Rectangular Tank;ETHANOL SOLUTION (ETHYL ALCOHOL SOLUTION);3455;61;15;Medium danger;PBAU6599726;010894;2607;15424000
Erasmus 1;Transit;Terminal 1;Amsterdam;50827577;Rectangular Tank;TRIETHYLENETETRAMINE;1814;3;0;Medium danger;PBAU7210018;010994;8421;79737000
Erasmus 1;Discharge;Terminal 1;Amsterdam;78110046;Rectangular Tank;DISINFECTANT, LIQUID, CORROSIVE, N.O.S.;2259;8;7;Minor danger;PBAU9530426;011094;3742;43594000
Erasmus 1;Transit;Terminal 1;Amsterdam;31687146;Rectangular Tank;ETHYL ORTHOFORMATE;2259;3;0;Medium danger;PBAU4111659;010196;2919;49350000
Erasmus 1;Transit;Terminal 1;Amsterdam;21662818;Rectangular Tank;SULPHURIC ACID;1944;41;0;Medium danger;PBAU6670474;010296;229;79924000
Erasmus 1;Transit;Terminal 1;Amsterdam;36998353;Rectangular Tank;FURALDEHYDES;1199;3;46;Medium danger;PBAU3780484;010396;2471;42502000
Erasmus 1;Discharge;Terminal 1;Amsterdam;50819677;Rectangular Tank;PHOSPHORUS PENTOXIDE;1814;3;0;Minor danger;PBAU9812316;010496;9438;15824000
Erasmus 1;Transit;Terminal 1;Amsterdam;65648849;Rectangular Tank;CORROSIVE LIQUID, ACIDIC, ORGANIC, N.O.S.;3378;3;45;Great danger;PBAU2387834;010596;4769;30677000
Erasmus 1;Transit;Terminal 1;Amsterdam;98517817;Rectangular Tank;RESORCINOL;1779;61;0;Great danger;PBAU1617877;010696;1073;17615000
Erasmus 1;Transit;Terminal 1;Amsterdam;63026607;Rectangular Tank;AMINOPHENOLS;3082;61;0;Medium danger;PBAU2501166;010796;1255;33709000
Erasmus 1;Discharge;Terminal 1;Amsterdam;16141255;Rectangular Tank;ETHYL ACETATE;3082;3;12;Medium danger;PBAU1886694;010896;4405;94678000
Erasmus 1;Transit;Terminal 1;Amsterdam;20767946;Rectangular Tank;POTASSIUM HYDROXIDE SOLUTION;2876;8;27;Minor danger;PBAU7057998;010996;2638;19996000
Erasmus 1;Transit;Terminal 1;Amsterdam;88344763;Rectangular Tank;ISOPROPANOL (ISOPROPYL ALCOHOL);1866;3;13;Minor danger;PBAU5780614;011096;1240;66687000
Erasmus 1;Discharge;Terminal 1;Amsterdam;63854224;Rectangular Tank;BROMOPROPANES;1266;3;0;Minor danger;PBAU1541934;010198;5102;30465000
Erasmus 1;Discharge;Terminal 1;Amsterdam;72568750;Rectangular Tank;ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID, N.O.S.;1992;61;0;Great danger;PBAU2424217;010298;652;93963000
Erasmus 1;Transit;Terminal 1;Amsterdam;28758291;Rectangular Tank;CORROSIVE LIQUID, TOXIC, N.O.S.;2876;8;13;Minor danger;PBAU9264787;010398;4293;91951000
Erasmus 1;Transit;Terminal 1;Amsterdam;43360157;Rectangular Tank;SULPHURIC ACID;2734;3;0;Minor danger;PBAU7228213;010498;6392;24700000
Erasmus 1;Transit;Terminal 1;Amsterdam;52151862;Rectangular Tank;FLAMMABLE LIQUID, TOXIC, N.O.S.;3261;8;15;Medium danger;PBAU7401759;010598;5379;83261000
Erasmus 1;Discharge;Terminal 1;Amsterdam;42526072;Rectangular Tank;ETHYL METHYL KETONE (METHYL ETHYL KETONE);2310;9;0;Medium danger;PBAU1928205;010698;3219;16637000
Erasmus 1;Discharge;Terminal 1;Amsterdam;44113276;Rectangular Tank;ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID, N.O.S.;1710;8;45;Medium danger;PBAU8689411;010798;4050;88232000
Erasmus 1;Transit;Terminal 1;Amsterdam;15864224;Rectangular Tank;ETHYL ORTHOFORMATE;1903;8;0;Medium danger;PBAU9493541;010898;1512;99448000
Erasmus 1;Transit;Terminal 1;Amsterdam;53657940;Rectangular Tank;2 DIMETHYLAMINOETHYL ACRYLATE;1710;3;0;Medium danger;PBAU8111907;010998;9168;77287000
Erasmus 1;Transit;Terminal 1;Amsterdam;98897111;Rectangular Tank;2 DIMETHYLAMINOETHYL ACRYLATE;1193;3;0;Minor danger;PBAU6150203;011098;3916;71994000
Erasmus 1;Discharge;Terminal 1;Amsterdam;44920621;Rectangular Tank;TRIMETHYL PHOSPHITE;1944;51;0;Minor danger;PBAU6828945;020182;2325;51542000
Erasmus 1;Transit;Terminal 1;Amsterdam;77648482;Rectangular Tank;CORROSIVE SOLID, ACIDIC, ORGANIC, N.O.S.;3487;3;15;Medium danger;PBAU1308428;020282;593;19238000
Erasmus 1;Discharge;Terminal 1;Amsterdam;93739764;Rectangular Tank;RESORCINOL;3082;61;30;Medium danger;PBAU1413582;020382;9299;34323000
Erasmus 1;Transit;Terminal 1;Amsterdam;52592609;Rectangular Tank;FURFURYL ALCOHOL;1170;3;0;Medium danger;PBAU7523016;020482;2762;20865000
Erasmus 1;Transit;Terminal 1;Amsterdam;33131420;Rectangular Tank;FURFURYL ALCOHOL;3265;8;0;Medium danger;PBAU1385025;020582;1994;1510000
Erasmus 1;Transit;Terminal 1;Amsterdam;82281858;Rectangular Tank;ETHYL ORTHOFORMATE;2310;8;30;Medium danger;PBAU7068237;020682;4256;79627000
Erasmus 1;Transit;Terminal 1;Amsterdam;81680679;Rectangular Tank;ESTERS, N.O.S.;1219;3;60;Minor danger;PBAU5687120;020782;4359;76910000
Erasmus 1;Transit;Terminal 1;Amsterdam;34647753;Rectangular Tank;RESIN SOLUTION;3082;41;15;Medium danger;PBAU5824288;020882;7965;32953000
Erasmus 1;Discharge;Terminal 1;Amsterdam;68699412;Rectangular Tank;ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID, N.O.S.;2922;8;46;Medium danger;PBAU4174554;020982;8613;71901000
Erasmus 1;Discharge;Terminal 1;Amsterdam;55403058;Rectangular Tank;TRIMETHYL PHOSPHITE;1193;8;0;Minor danger;PBAU7014901;021082;3903;37169000
Erasmus 1;Transit;Terminal 1;Amsterdam;56344240;Rectangular Tank;TRICHLOROETHYLENE;1170;51;0;Medium danger;PBAU6959915;020184;5402;67706000
Erasmus 1;Transit;Terminal 1;Amsterdam;92299120;Rectangular Tank;ISOPROPANOL (ISOPROPYL ALCOHOL);2512;3;0;Medium danger;PBAU8223323;020284;1564;31027000
Erasmus 1;Transit;Terminal 1;Amsterdam;86212311;Rectangular Tank;MATCHES, SAFETY;3272;3;38;Medium danger;PBAU3503875;020384;2702;92260000
Erasmus 1;Discharge;Terminal 1;Amsterdam;73396352;Rectangular Tank;PERFUMERY PRODUCTS;1170;9;0;Medium danger;PBAU4745661;020484;5949;39689000
Erasmus 1;Transit;Terminal 1;Amsterdam;36825283;Rectangular Tank;DISINFECTANT, LIQUID, CORROSIVE, N.O.S.;2310;8;13;Minor danger;PBAU2827054;020584;1723;60494000
Erasmus 1;Transit;Terminal 1;Amsterdam;76307893;Rectangular Tank;CRESOLS, SOLID;2512;9;15;Minor danger;PBAU9009773;020684;7154;13016000
Erasmus 1;Discharge;Terminal 1;Amsterdam;79012130;Rectangular Tank;CORROSIVE LIQUID, ACIDIC, ORGANIC, N.O.S.;3082;51;0;Great danger;PBAU5074617;020784;4679;33415000
Erasmus 1;Transit;Terminal 1;Amsterdam;58035354;Rectangular Tank;TOXIC LIQUID, FLAMMABLE, ORGANIC, N.O.S.;1866;41;0;Medium danger;PBAU5276963;020884;7977;57536000
Erasmus 1;Transit;Terminal 1;Amsterdam;79449801;Rectangular Tank;TRIETHYLENETETRAMINE;1944;3;0;Minor danger;PBAU1589489;020984;5571;77405000
Erasmus 1;Discharge;Terminal 1;Amsterdam;23980811;Rectangular Tank;ESTERS, N.O.S.;1193;3;15;Medium danger;PBAU2754002;021084;8608;82377000
Erasmus 1;Discharge;Terminal 1;Amsterdam;25663013;Rectangular Tank;CORROSIVE LIQUID, N.O.S.;1814;3;0;Minor danger;PBAU7770844;020186;4261;66221000
Erasmus 1;Transit;Terminal 1;Amsterdam;44219373;Rectangular Tank;AMINOPHENOLS;1266;8;0;Minor danger;PBAU7540260;020286;4817;70664000
Erasmus 1;Transit;Terminal 1;Amsterdam;73291704;Rectangular Tank;ISOPROPANOL (ISOPROPYL ALCOHOL);3272;61;15;Minor danger;PBAU7685648;020386;7244;76495000
Erasmus 1;Discharge;Terminal 1;Amsterdam;85545876;Rectangular Tank;TRICHLOROETHYLENE;3261;3;0;Medium danger;PBAU3409578;020486;9908;88297000
Erasmus 1;Discharge;Terminal 1;Amsterdam;49613820;Rectangular Tank;ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID, N.O.S.;1219;8;0;Minor danger;PBAU6045825;020586;8983;44541000
Erasmus 1;Discharge;Terminal 1;Amsterdam;26140780;Rectangular Tank;ESTERS, N.O.S.;1992;8;7;Medium danger;PBAU1371250;020686;6224;89944000
Erasmus 1;Discharge;Terminal 1;Amsterdam;80756085;Rectangular Tank;BROMOPROPANES;1944;61;0;Great danger;PBAU2063374;020786;9357;17728000
Erasmus 1;Transit;Terminal 1;Amsterdam;45380207;Rectangular Tank;CORROSIVE LIQUID, N.O.S.;1710;9;60;Minor danger;PBAU1005328;020886;7398;47793000
Erasmus 1;Transit;Terminal 1;Amsterdam;34507130;Rectangular Tank;POTASSIUM HYDROXIDE SOLUTION;2924;3;118;Medium danger;PBAU5140582;020986;533;53674000
Erasmus 1;Discharge;Terminal 1;Amsterdam;99576274;Rectangular Tank;MATCHES, SAFETY;2512;3;27;Medium danger;PBAU9804325;021086;5325;97340000
Erasmus 1;Transit;Terminal 1;Amsterdam;95049391;Rectangular Tank;ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID, N.O.S.;1760;3;15;Medium danger;PBAU2029626;020188;5355;45811000
Erasmus 1;Transit;Terminal 1;Amsterdam;35006723;Rectangular Tank;TRIMETHYL PHOSPHITE;1266;3;13;Minor danger;PBAU7739177;020288;1247;24236000
Erasmus 1;Transit;Terminal 1;Amsterdam;37522029;Rectangular Tank;DIPENTENE;3265;3;0;Great danger;PBAU6799802;020388;1359;31728000
Erasmus 1;Discharge;Terminal 1;Amsterdam;17700102;Rectangular Tank;ETHYL METHYL KETONE (METHYL ETHYL KETONE);1866;61;15;Minor danger;PBAU2109604;020488;3872;70133000
Erasmus 1;Transit;Terminal 1;Amsterdam;11064350;Rectangular Tank;RESORCINOL;1710;61;15;Medium danger;PBAU5506818;020588;9039;31538000
Erasmus 1;Discharge;Terminal 1;Amsterdam;69710699;Rectangular Tank;ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID, N.O.S.;2329;8;0;Medium danger;PBAU3031598;020688;6551;33401000
Erasmus 1;Discharge;Terminal 1;Amsterdam;81916631;Rectangular Tank;SULPHURIC ACID;2929;8;30;Medium danger;PBAU5814283;020788;6388;42073000
Erasmus 1;Transit;Terminal 1;Amsterdam;83654036;Rectangular Tank;2 DIMETHYLAMINOETHYL ACRYLATE;1170;8;15;Medium danger;PBAU5226968;020888;4664;23317000
Erasmus 1;Transit;Terminal 1;Amsterdam;32232570;Rectangular Tank;CORROSIVE LIQUID, N.O.S.;1814;8;0;Medium danger;PBAU2600445;020988;6474;83942000
Erasmus 1;Transit;Terminal 1;Amsterdam;47953483;Rectangular Tank;ETHYL METHYL KETONE (METHYL ETHYL KETONE);2052;61;15;Medium danger;PBAU7355802;021088;1878;41457000
Erasmus 1;Discharge;Terminal 1;Amsterdam;24308816;Rectangular Tank;ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID, N.O.S.;1193;8;0;Minor danger;PBAU4872353;020190;7248;27661000
Erasmus 1;Discharge;Terminal 1;Amsterdam;46938351;Rectangular Tank;RESIN SOLUTION;1170;3;15;Minor danger;PBAU2422108;020290;2612;2058000
Erasmus 1;Discharge;Terminal 1;Amsterdam;66872872;Rectangular Tank;ISOPROPANOL (ISOPROPYL ALCOHOL);1903;3;0;Medium danger;PBAU3775281;020390;8095;68774000
Erasmus 1;Transit;Terminal 1;Amsterdam;70753876;Rectangular Tank;FLAMMABLE LIQUID, CORROSIVE, N.O.S.;2052;61;46;Medium danger;PBAU3315156;020490;56;41572000
Erasmus 1;Discharge;Terminal 1;Amsterdam;82150445;Rectangular Tank;FURALDEHYDES;3302;61;60;Minor danger;PBAU1415343;020590;5835;77340000
Erasmus 1;Transit;Terminal 1;Amsterdam;88770615;Rectangular Tank;FURALDEHYDES;1992;8;0;Medium danger;PBAU1561877;020690;9494;73647000
Erasmus 1;Discharge;Terminal 1;Amsterdam;99410305;Rectangular Tank;ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID, N.O.S.;2344;3;0;Medium danger;PBAU7367435;020790;2124;76459000
Erasmus 1;Discharge;Terminal 1;Amsterdam;82117930;Rectangular Tank;PERFUMERY PRODUCTS;1814;61;60;Medium danger;PBAU5648638;020890;2452;5758000
Erasmus 1;Discharge;Terminal 1;Amsterdam;37361729;Rectangular Tank;CORROSIVE LIQUID, N.O.S.;2344;9;0;Medium danger;PBAU2030596;020990;9238;81822000
Erasmus 1;Discharge;Terminal 1;Amsterdam;39042818;Rectangular Tank;CALCIUM HYPOCHLORITE, HYDRATED MIXTURE, CORROSIVE;2924;61;0;Minor danger;PBAU4741922;021090;9038;94428000
Erasmus 1;Discharge;Terminal 1;Amsterdam;95934664;Rectangular Tank;POTASSIUM HYDROXIDE SOLUTION;1903;51;24;Medium danger;PBAU6395360;020192;2323;64343000
Erasmus 1;Discharge;Terminal 1;Amsterdam;77949145;Rectangular Tank;DISINFECTANT, LIQUID, CORROSIVE, N.O.S.;1219;51;15;Medium danger;PBAU6260422;020292;1687;53317000
Erasmus 1;Discharge;Terminal 1;Amsterdam;11261958;Rectangular Tank;AMINES, LIQUID, CORROSIVE, FLAMMABLE, N.O.S.;3265;51;13;Medium danger;PBAU8949238;020392;6213;84332000
Erasmus 1;Discharge;Terminal 1;Amsterdam;78687389;Rectangular Tank;TRICHLOROETHYLENE;2329;3;0;Medium danger;PBAU9152335;020492;7181;85066000
Erasmus 1;Discharge;Terminal 1;Amsterdam;66746994;Rectangular Tank;ISOPROPANOL (ISOPROPYL ALCOHOL);2924;61;7;Medium danger;PBAU4740955;020592;9489;33694000
Erasmus 1;Transit;Terminal 1;Amsterdam;63683296;Rectangular Tank;PHOSPHORUS PENTOXIDE;3302;8;0;Medium danger;PBAU4955576;020692;4881;18558000
Erasmus 1;Transit;Terminal 1;Amsterdam;85560431;Rectangular Tank;SULPHURIC ACID;3265;51;0;Medium danger;PBAU5647484;020792;1826;85880000
Erasmus 1;Discharge;Terminal 1;Amsterdam;42653711;Rectangular Tank;ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID, N.O.S.;3487;51;15;Medium danger;PBAU5529013;020892;7885;65228000
Erasmus 1;Transit;Terminal 1;Amsterdam;17010841;Rectangular Tank;RESORCINOL;2329;3;46;Minor danger;PBAU3177989;020992;7366;37582000
Erasmus 1;Discharge;Terminal 1;Amsterdam;12769952;Rectangular Tank;ETHANOL SOLUTION (ETHYL ALCOHOL SOLUTION);2524;51;0;Minor danger;PBAU5439372;021092;9408;15657000
Erasmus 1;Transit;Terminal 1;Amsterdam;99013481;Rectangular Tank;PHOSPHORUS PENTOXIDE;2512;8;0;Medium danger;PBAU9361233;020194;489;81477000
